sqft,distance,is_new,price
1998.685661204493,8.771960948617389,0,248913.53444620263
1744.694279531526,10.451721319068021,0,235395.3618211754
2059.075415240277,2.0996743547439616,1,261904.97518341342
2409.21194256321,9.734967422887761,1,296035.96929849585
1706.3386501106656,2.5797655431878472,0,295037.89770149335
1706.3452172203279,3.0703499348075516,1,244274.6051031609
2431.685126202957,6.381243858298175,0,280782.04426218267
2106.9738916611636,3.9428971492663707,0,312474.285652632
1612.210245626019,4.206616111964577,1,303273.5473257484
2017.0240174343858,3.5922697379388158,1,335024.2053049125
1614.632922875015,4.884535091714592,1,293944.25290209067
1613.7080985718972,3.9178261645120744,1,226619.68979231303
1896.7849086264137,4.767080402532839,0,206440.52115789737
1034.687902136881,0.0,1,259215.89433464519
1110.032866994787,0.0,0,170296.75048568897
1575.084988303611,6.1415986189953236,1,235552.08208124546
1394.8675518662305,4.477089322204295,0,257080.60393129708
1925.6989330381095,2.6958289307948946,1,320245.58554821485
1436.7903697915156,3.481948765245255,0,230204.5089625104
1235.0785194658833,4.429553967444784,1,296520.854229615
2386.2595075686218,2.923081694478994,0,301841.1666095919
1709.6894798053856,6.178527976166734,1,298740.75877139554
1827.0112818751695,3.1471851325383073,0,262080.32342328882
1230.1007255146174,3.8622996333525648,0,196768.87931622667
1582.246910189927,1.621457081322084,0,296143.9950353262
1844.3690358839465,0.0,0,291637.71455765853
1339.602569031079,0.0,1,257284.1514457148
1950.2792073382689,5.895650876675491,0,309246.84574295784
1559.744524032478,4.577890125326835,1,233837.56332620146
1683.3225000826892,1.703662625100221,0,213319.32544106178
1559.3173551082411,5.712364151873327,0,178188.62239652761
2540.911273803575,3.7199961822109966,1,290095.100734756
1794.6011101048264,4.774766154582182,1,358276.1199464455
1376.91562841764,0.0,0,171101.54078124947
2129.0179648412754,4.6895815007999,0,282563.26633512246
1311.662540011591,2.7005087140071975,1,213225.4466638125
1883.545438001902,2.836487094157653,0,279812.25919011934
1016.1319504480898,0.0,1,229565.32255534266
1268.7255804406277,5.36250632984646,1,245578.49019772577
1878.7444943476494,3.663046863168801,1,266137.10118945397
2095.3866319981644,8.984009496186248,0,267809.49879976455
1868.5473124759883,1.9536159984070869,1,304668.0275214293
1753.7406870447037,6.358115968969367,0,231426.88949111445
1679.5585217642845,8.722498470795124,0,289673.35024012846
1208.5912038530291,0.0,0,214669.94252789355
1512.0623166421165,1.1696258167991522,0,257333.7119886492
1615.744491616085,5.8099388396220455,1,277974.7732217606
2222.848890487566,6.505108294308853,1,369165.49627499445
1937.4473158273845,6.8006741992508495,1,294332.5176496819
1094.7839378549065,0.0,0,129500.79462435492
1929.6335877579181,5.907937301208291,0,279819.73669743096
1645.9670878334734,3.7628037329911286,0,210173.36358937027
1529.2311998776165,7.149502184367504,1,215914.57016222118
2044.6705155363472,6.986615107585376,0,297855.1772918093
2212.39980899838,8.074807031217507,1,365794.87884349853
2172.5120476464795,5.626929339864995,0,294671.520767425
1464.3129907109446,1.8587462813372424,0,232494.6405452602
1676.3150496595142,3.0839006848387083,1,334994.70169003506
1932.5053725614257,6.8458832899420194,0,270993.12201708776
2190.2180508489437,5.688136811783929,1,424829.0802337373
1608.330304861884,4.910976094998659,1,275887.0941236919
